,time,AHU: Static Pressure Reset Trim And Respond Signal,AHU: Mixed Air Temperature,Outdoor Air Temperature,AHU: Return Air Temperature,VAV: South Zone Room Air Temperature,VAV: Core Zone Room Air Temperature,VAV: North Zone Room Air Temperature,AHU: Supply Air Temperature,VAV: Core Zone Discharge Air Temperature,VAV: North Zone Discharge Air Temperature,VAV: South Zone Discharge Air Temperature,AHU: Supply Air Temperature Reset Trim And Respond Signal,VAV: Core Zone Airflow Rate,VAV: North Zone Airflow Rate,VAV: South Zone Airflow Rate,AHU: Supply Duct Static Pressure Setpoint,AHU: Supply Air Temperature Setpoint,VAV: Core Zone Cooling Loop Signal,VAV: North Zone Cooling Loop Signal,VAV: South Zone Cooling Loop Signal,AHU: Cooling Coil Load,AHU: Cooling Coil Supply Water Flow Rate,VAV: Core Zone Reheat Valve Signal,VAV: Core Zone Discharge Air Damper Position,AHU: Supply Duct Static Pressure,AHU: Exhaust Air Damper Position,AHU: Outdoor Air Damper Position,AHU: Return Airflow Rate,AHU: Return Air Damper Position,AHU: Supply Fan Power Modelica Inaccurate,AHU: Supply Fan Power,VAV: North Zone Reheat Valve Signal,VAV: North Zone Discharge Air Damper Position,AHU: Supply Fan Airflow Rate,VAV: South Zone Reheat Valve Signal,VAV: South Zone Discharge Air Damper Position,AHU: Cooling Coil Supply Water Temperature
11,19440660.0,0.0,18.336853,16.216278,21.79895,21.75116,21.84787,21.822876,18.293762,18.300323,18.300323,18.323212,0.0,0.03309431,0.03309431,0.051326796,250.0,18.300018,0.0,0.0,0.0,2.8946316,9.54197e-21,0.0,53.945206,228.474,33.479233,96.0,0.044600233,23.129074,249.86185,201.98302,0.0,53.945206,0.11753217,0.0,51.14845,8.330017
12,19440720.0,0.0,18.289978,16.208801,21.792786,21.738739,21.84793,21.82022,18.31195,18.305481,18.305481,18.318573,0.0,0.032955755,0.032955755,0.05110308,250.0,18.300018,0.0,0.0,0.0,-0.85207486,9.54197e-21,0.0,53.521984,235.56314,33.70776,96.0,0.043572456,22.809137,251.04779,205.36945,0.0,53.521984,0.117026374,0.0,50.73221,8.330017
13,19440780.0,0.0,18.26706,16.201355,21.786774,21.72647,21.848053,21.817688,18.306763,18.309937,18.309937,18.317444,0.0,0.0327926,0.0327926,0.050825704,250.0,18.300018,0.0,0.0,0.0,-2.2388988,9.54197e-21,0.0,53.18471,240.59496,33.778973,96.0,0.043062445,22.709436,251.82692,207.61835,0.0,53.18471,0.11641919,0.0,50.39886,8.330017
14,19440840.0,0.0,18.281128,16.19394,21.780853,21.714355,21.848236,21.815216,18.293915,18.306,18.306,18.311157,0.0,0.03263993,0.03263993,0.050560538,250.0,18.300018,0.0,0.0,0.0,-0.8975382,9.54197e-21,0.0,52.93457,243.91753,33.639523,96.0,0.043309517,22.904669,252.29056,208.99718,0.0,52.93457,0.11584603,0.0,50.151146,8.330017
15,19440900.0,0.0,18.298096,16.186523,21.774994,21.702362,21.84848,21.812775,18.28946,18.30011,18.30011,18.303955,0.0,0.032509048,0.032509048,0.050330967,250.0,18.300018,0.0,0.0,0.0,0.37183666,9.54197e-21,0.0,52.747787,246.16737,33.494343,96.0,0.043609425,23.107924,252.57208,209.86642,0.0,52.747787,0.115352936,0.0,49.966263,8.330017
16,19440960.0,0.0,18.305115,16.179169,21.769287,21.690887,21.84842,21.810303,18.291565,18.296265,18.296265,18.29898,0.0,0.032398254,0.032398254,0.05013569,250.0,18.300018,0.0,0.0,0.0,0.7668372,9.54197e-21,0.0,52.603638,247.76419,33.41233,96.0,0.043717828,23.222734,252.75055,210.44174,0.0,52.603638,0.1149347,0.0,49.823833,8.330017
17,19441020.0,0.0,18.301178,16.171814,21.763641,21.679474,21.84842,21.807861,18.296082,18.295624,18.295624,18.297333,0.0,0.032310627,0.032310627,0.04998096,250.0,18.300018,0.0,0.0,0.0,0.36156088,9.54197e-21,0.0,52.50009,248.79121,33.39421,96.0,0.043638423,23.248102,252.84557,210.77504,0.0,52.50009,0.11460378,0.0,49.72184,8.330017
18,19441080.0,0.0,18.294098,16.16452,21.758057,21.668213,21.84845,21.80545,18.298462,18.296692,18.296692,18.297607,0.0,0.032243762,0.032243762,0.04986293,250.0,18.300018,0.0,0.0,0.0,-0.18305552,9.54197e-21,0.0,52.427917,249.41853,33.392334,96.0,0.04353577,23.250732,252.88734,210.94926,0.0,52.427917,0.11435138,0.0,49.65103,8.330017
19,19441140.0,0.0,18.291199,16.157257,21.752533,21.657013,21.84851,21.80307,18.297455,18.297485,18.297485,18.297943,0.0,0.032194413,0.032194413,0.049775977,250.0,18.300018,0.0,0.0,0.0,-0.35088533,9.54197e-21,0.0,52.379036,249.77989,33.36575,96.0,0.043548513,23.287952,252.89801,211.02611,0.0,52.379036,0.11416533,0.0,49.60332,8.330017
20,19441200.0,0.0,18.293732,16.149994,21.74704,21.645935,21.848572,21.80072,18.29538,18.297058,18.297058,18.297394,0.0,0.03215866,0.03215866,0.04971318,250.0,18.300018,0.0,0.0,0.0,-0.12725563,9.54197e-21,0.0,52.346207,249.98148,33.309647,96.0,0.04368708,23.366495,252.8937,211.05124,0.0,52.346207,0.11403077,0.0,49.571457,8.330017
21,19441260.0,0.0,18.297241,16.142792,21.741669,21.635284,21.848389,21.79831,18.294708,18.296143,18.296143,18.296448,0.0,0.03213443,0.03213443,0.04967081,250.0,18.300018,0.0,0.0,0.0,0.11877276,9.54197e-21,0.0,52.325897,250.07277,33.25087,96.0,0.043853916,23.448778,252.88177,211.04538,0.0,52.325897,0.1139398,0.0,49.551903,8.330017
22,19441320.0,0.0,18.2984,16.13562,21.736359,21.624695,21.848236,21.795929,18.29544,18.295654,18.295654,18.295868,0.0,0.032116797,0.032116797,0.049640108,250.0,18.300018,0.0,0.0,0.0,0.16899492,9.54197e-21,0.0,52.312176,250.11478,33.207024,96.0,0.043979175,23.510168,252.86832,211.02881,0.0,52.312176,0.113873735,0.0,49.53878,8.330017
23,19441380.0,0.0,18.297485,16.12851,21.731049,21.614197,21.848083,21.79358,18.296356,18.295746,18.295746,18.295868,0.0,0.032104548,0.032104548,0.04961888,250.0,18.300018,0.0,0.0,0.0,0.08062582,9.54197e-21,0.0,52.303432,250.12567,33.174915,96.0,0.044072043,23.555122,252.8554,211.00809,0.0,52.303432,0.113827966,0.0,49.530495,8.330017
24,19441440.0,0.0,18.296082,16.121399,21.7258,21.60373,21.84793,21.791199,18.296875,18.296082,18.296082,18.296112,0.0,0.032096427,0.032096427,0.049604893,250.0,18.300018,0.0,0.0,0.0,-0.029661413,9.54197e-21,0.0,52.298283,250.11781,33.14574,96.0,0.044161372,23.595963,252.84383,210.98677,0.0,52.298283,0.11379772,0.0,49.525684,8.330017
